year,month,day,TM,TX,TN,HRM,HRX,HRN,PM,PX,PN,PPT,RS24h,VVM10,DVM10,VVX10,DVVX10
2020,1,27,10.725,14.95,7.525,64.5,87.0,44.25,999.0333333333333,1001.9666666666666,996.6333333333333,0.0,8.700000000000001,3.133333333333333,271.0,9.633333333333333,261.6666666666667
2020,1,28,12.875,16.975,8.975,64.75,80.75,49.5,996.7666666666668,998.7333333333332,995.2333333333332,0.0,6.333333333333333,2.3666666666666667,286.3333333333333,11.6,284.3333333333333
2020,1,29,11.8,15.775,9.05,82.0,95.5,64.0,1000.0333333333334,1001.6999999999999,998.1666666666666,0.0,7.433333333333334,1.2333333333333334,232.33333333333334,4.966666666666666,181.0
2020,1,30,13.575,19.1,9.3,75.0,93.5,51.25,999.1333333333333,1000.5333333333333,997.5666666666666,0.0,9.033333333333333,2.0,287.0,8.700000000000001,297.6666666666667
2020,1,31,14.375,20.125,10.65,72.0,89.75,49.0,999.9,1001.4333333333334,998.8333333333334,0.0,11.266666666666666,2.3000000000000003,241.66666666666666,7.0,267.6666666666667
2020,2,1,14.55,21.6,10.475,75.0,87.75,49.75,1000.4666666666667,1004.5333333333333,997.2333333333332,0.0,9.6,2.2333333333333334,273.3333333333333,9.066666666666666,299.0
2020,2,2,16.375,22.125,11.225,71.25,92.75,48.5,1004.8666666666667,1006.2333333333332,1003.3666666666667,0.0,11.666666666666666,3.1666666666666665,278.3333333333333,10.133333333333333,316.0
2020,2,3,17.3,22.625,13.625,65.0,82.75,46.5,1005.1999999999999,1007.1999999999999,1003.1,0.0,10.266666666666666,2.8000000000000003,265.6666666666667,9.299999999999999,311.0
2020,2,4,15.025,20.65,11.225,69.0,89.75,45.25,1001.7333333333332,1006.8666666666667,999.0666666666666,0.0,10.9,3.6666666666666665,302.3333333333333,15.166666666666666,316.3333333333333
2020,2,5,11.225,16.3,7.7,55.25,72.0,34.0,1007.0666666666666,1009.1999999999999,1005.3333333333334,0.0,12.766666666666666,2.8666666666666667,292.3333333333333,9.166666666666666,308.6666666666667
2020,2,6,10.575,15.4,7.025,71.75,87.0,44.0,1006.0333333333333,1007.3000000000001,1004.4333333333334,0.0,12.733333333333334,2.3333333333333335,242.66666666666666,9.0,218.66666666666666
2020,2,7,10.4,13.475,7.6,79.0,89.5,65.25,1003.8666666666668,1005.6333333333333,1002.5,0.0,5.933333333333334,1.7,233.0,4.966666666666667,221.0
2020,2,8,10.975,14.125,8.075000000000001,78.0,91.75,55.0,1004.0333333333333,1006.6999999999999,1002.5666666666666,0.0,6.6000000000000005,1.5999999999999999,256.3333333333333,5.6000000000000005,255.0
2020,2,9,11.95,16.3,8.1,78.25,92.25,61.5,1007.1999999999999,1009.1666666666666,1005.9666666666667,0.0,12.200000000000001,2.6666666666666665,248.0,10.166666666666666,245.66666666666666
2020,2,10,15.05,21.425,10.875,67.25,85.75,45.5,1004.9333333333334,1007.0666666666666,1003.1333333333333,0.0,12.833333333333334,2.9,263.0,14.233333333333334,300.3333333333333
2020,2,11,14.025,16.55,11.775,79.0,94.0,63.0,1002.7666666666668,1004.0,1001.5666666666666,0.0,8.966666666666667,2.3333333333333335,49.666666666666664,8.6,170.0
2020,2,12,11.725,13.35,10.5,89.5,94.5,82.5,1003.9333333333334,1005.8333333333334,1002.2666666666668,0.39999999999999997,1.7333333333333334,2.1999999999999997,93.33333333333333,7.533333333333334,91.66666666666667
2020,2,13,13.225,17.974999999999998,10.35,83.0,96.75,65.25,1000.0666666666666,1002.5,997.8666666666667,0.0,12.566666666666668,2.6,258.0,9.833333333333334,242.66666666666666
2020,2,14,12.45,15.275,10.0,87.0,96.25,71.5,1003.7333333333332,1005.6,1001.3333333333334,0.0,4.566666666666666,1.6000000000000003,211.33333333333334,5.3999999999999995,151.0
2020,2,15,12.625,16.6,9.475000000000001,84.25,95.25,67.5,1004.9666666666667,1006.3000000000001,1003.6999999999999,0.0,13.533333333333333,2.3666666666666667,259.3333333333333,6.833333333333333,237.0
2020,2,16,12.825,15.15,10.825,85.0,94.0,77.5,1004.8333333333334,1006.2666666666668,1003.2666666666668,0.0,6.966666666666666,3.6666666666666665,250.0,9.9,243.33333333333334
2020,2,17,13.4,17.075,10.55,84.5,93.5,69.5,1004.1666666666666,1008.7666666666668,1002.0666666666666,0.3333333333333333,12.799999999999999,2.5,228.66666666666666,7.466666666666666,232.33333333333334
2020,2,18,11.375,15.075,8.475,68.0,95.0,48.75,1009.6999999999999,1011.1999999999999,1008.5,0.8666666666666667,14.133333333333333,2.5333333333333337,267.6666666666667,9.066666666666666,328.3333333333333
2020,2,19,10.7,15.275,7.35,65.0,82.5,44.25,1008.9,1011.4,1006.7333333333332,0.0,14.833333333333334,2.6333333333333333,296.0,8.866666666666667,337.3333333333333
2020,2,20,11.525,17.175,7.025,72.0,88.25,53.75,1004.6,1006.8333333333334,1002.7666666666668,0.0,15.133333333333333,2.466666666666667,264.6666666666667,8.166666666666666,244.33333333333334
2020,2,21,12.975,18.6,8.375,63.25,89.5,41.5,1007.8000000000001,1009.5666666666666,1006.3666666666667,0.0,15.0,2.766666666666667,260.6666666666667,9.5,249.66666666666666
2020,2,22,12.149999999999999,15.775,8.45,76.75,93.0,58.0,1010.6999999999999,1013.1999999999999,1007.7666666666668,0.0,14.633333333333333,1.9333333333333333,67.0,7.833333333333333,160.66666666666666
2020,2,23,14.45,19.975,9.350000000000001,67.25,89.5,45.25,1010.3000000000001,1012.5666666666666,1008.2999999999998,0.0,15.800000000000002,2.466666666666667,270.0,7.7,271.6666666666667
2020,2,24,15.149999999999999,20.55,10.05,59.0,81.0,38.5,1003.2666666666668,1008.8666666666668,998.0666666666666,0.0,15.866666666666667,2.8000000000000003,262.6666666666667,9.1,284.6666666666667
2020,2,25,12.475,15.6,9.350000000000001,77.0,94.0,54.0,994.8333333333334,998.2000000000002,993.0,0.0,8.766666666666667,2.6999999999999997,185.33333333333334,9.166666666666666,154.33333333333334
2020,2,26,13.175,18.675,9.45,57.75,91.75,29.75,994.0333333333333,998.5,991.8000000000001,0.0,16.46666666666667,4.0,198.66666666666666,14.4,309.3333333333333
2020,2,27,14.15,19.325,8.7,55.0,85.5,35.0,995.1666666666666,998.2333333333332,992.0,0.13333333333333333,13.9,4.533333333333333,271.3333333333333,14.533333333333333,272.6666666666667
2020,2,28,12.85,15.45,10.75,76.75,88.75,52.25,999.4666666666667,1002.0666666666666,996.0333333333333,0.0,6.466666666666666,2.6666666666666665,251.0,8.966666666666667,200.33333333333334
2020,2,29,14.75,18.6,11.425,74.25,91.25,48.0,990.4,996.8000000000001,987.4,0.0,12.033333333333333,2.6,254.33333333333334,8.466666666666667,243.33333333333334
2020,3,1,15.575,20.5,11.675,60.25,89.25,33.75,988.1999999999999,989.9666666666667,984.1666666666666,0.0,14.700000000000001,3.8000000000000003,264.3333333333333,14.833333333333334,284.0
2020,3,2,14.075,18.025,8.450000000000001,53.5,86.75,29.5,979.6999999999999,990.2333333333332,972.5666666666666,1.5,15.233333333333334,5.866666666666667,274.3333333333333,19.666666666666668,307.6666666666667
2020,3,3,11.4,15.024999999999999,7.625,53.25,67.75,42.25,988.5666666666666,992.5333333333333,982.2333333333332,0.0,7.8,4.033333333333334,280.0,15.133333333333333,291.3333333333333
2020,3,4,12.5,16.35,9.825,65.75,88.0,46.0,994.5666666666666,996.5333333333333,991.7333333333332,0.0,8.666666666666666,1.8333333333333333,118.66666666666667,7.6000000000000005,292.6666666666667
